iata,icao,name
,NVC,NAV CANADA,
,NAV,Nav Flight Planning,
,NVP,Navegacao Aérea De Portugal,
,NAY,Navegación Servicios Aéreos Canarios,
,IRI,Navid,
,NVM,Naviera Mexicana,
,NVL,Navigator Airlines,
,XNV,Navinc Airlines Services,
1N,,Navitaire,
,XNS,Navtech System Support,
,NZA,Nayzak Air Transport,
,NEC,Necon Air,
,NCG,Nederlandse Kustwacht,
,NFT,Nefteyugansk Aviation Division,
,NLA,Neiltown Air,
,NLG,NEL Cargo,
,NLC,Nelair Charters,
,CGE,Nelson Aviation College,
NO,NOS,Neos,
,TOX,Neosiam Airways,
RA,RNA,Nepal Airlines,
,NSL,Neric,
1I,EJA,NetJets,
,NET,Network Aviation Services,
,NEZ,New England Air Express,
EJ,NEA,New England Airlines,
,NHT,New Heights 291,
,NWD,New World Jet,
,NYH,New York Helicopter,
,GRY,New York State Police,
,KRC,New Zealand Air Defence Force,
,HVA,Newair,
,NLT,Newfoundland Labrador Air Transport,
,NXF,Nextflight Aviation,
2N,NTJ,NextJet,
,NXS,Nexus Aviation,
,NHG,NHT Linhas Aéreas,
,NIS,Nicaragüense de Aviación,
,NCN,Nicon Airways,
,NGA,Nigeria Airways,
,NGR,Nigerian Air Force,
,NGX,Nigerian Global,
,EXT,Night Express,
HG,NLY,Niki,
,NKV,Nikolaev-Air,
,NSA,Nile Safaris Aviation,
,NVA,Nile Valley Aviation,
,NLW,Nile Wings Aviation Services,
,NBS,Nimbus Aviation,
KZ,NCA,Nippon Cargo Airlines,
,NVK,Nizhnevartovskavia,
,NBL,Nobil Air,
DD,NOK,Nok Air,
,NRL,Nolinor Aviation,
,NMD,Nomad Aviation,
,NOC,Norcopter,
,NEF,Nord-Flyg,
5N,AUL,Nordavia,
JH,NES,Nordeste Linhas Aéreas Regionais,
6N,NRD,Nordic Regional,
,NVD,Nordic Solutions,
,NDS,Nordstree Australia,
,NRT,Norestair,
N5,,Norfolk Air,
,NCF,Norfolk County Flight College,
,FNA,Norlandair,
,NOA,Norontair,
,HMF,Norrlandsflyg,
,NRX,Norse Air Charter,
,NIR,Norsk Flytjeneste,
,NOR,Norsk Helikopter,
,DOC,Norsk Luftambulanse,
,RTV,Nortavia,
,NAI,North Adria Aviation,
,NTM,North American Airlines,
,HMR,North American Charters,
,NAJ,North American Jet Charter Group,
,NAT,North Atlantic Air,
,NFC,North Atlantic Cargo,
,NBN,North British Airlines,
,NCB,North Caribou Flying Service,
,NCC,North Coast Air Services,
N9,,North Coast Aviation,
M3,NFA,North Flying,
,NRC,North Sea Airways,
,SBX,North Star Air Cargo,
,NRV,North Vancouver Airlines,
,NWW,North West Airlines,
,PTO,North West Geomatics,
,NEN,North-East Airlines,
,VBG,North-West Air Transport - Vyborg,
HW,NWL,North-Wright Airways,
,NLL,Northafrican Air Transport,
,NFL,Northaire Feight Lines,
,NSF,Northamptonshire School of Flying,
,NCE,Northcoast Executive Airlines,
,NEE,Northeast Airlines,
,NPX,Northeast Aviation,
NC,NAC,Northern Air Cargo,
,BYC,Northern Airlines Sanya,
,NDA,Northern Airways,
,CMU,Northern Aviation Service,
U7,,Northern Dene Airways,
,NEX,Northern Executive Aviation,
,NIC,Northern Illinois Commuter,
,NTX,Northern Jet Management,
,NTA,Northern Thunderbird Air,
,KOE,Northland Aviation,
,NSS,Northstar Aviation,
,NHL,Northumbria Helicopters,
,NAL,Northway Aviation,
,NWE,Northwest Aero Associates,
FY,NWR,Northwest Regional Airlines,
,NWT,Northwest Territorial Airways,
J3,PLR,Northwestern Air,
,NWN,Northwinds Northern,
,NWO,Northwood Headquarters RAF,
,NAM,Nortland Air Manitoba,
DY,NAX,Norwegian Air Shuttle,
,TFN,Norwegian Aviation College,
,XNT,Notams International,
BJ,LBT,Nouvel Air Tunisie,
M4,NOV,Nova Airline,
,PTR,Nova Scotia Department of Lands and Forests,
1I,NVR,Novair,
,NVG,Novogorod Air Enterprise,
,NSP,Novosibirsk Aircraft Repairing Plant,
,NBE,Novosibirsk Aviaenterprise,
,NPO,Novosibirsk Aviation Production Association,
,NOY,Noy Aviation,
N6,ACQ,Nuevo Continente,
,NHR,Nuevo Horizonte Internacional,
,NUN,Nunasi-Central Airlines,
,NIN,Nurman Avia Indopura,
,NYS,Nyasa Express,
,WAR,NZ Warbirds Association,
,OCN,O Air,
CR,ABC,OAG,
,BCN,Ocean Air,
VC,VCX,Ocean Airlines,
,OCS,Ocean Sky,
,TUK,Ocean Wings Commuter Service,
O6,ONE,Oceanair,
O2,,Oceanic Airlines,
,ODS,Odessa Airlines,
,ODY,Odyssey International,
,FOC,Office Federal De'Aviation Civile,
,GBO,Ogooue Air Cargo,
,OKJ,Okada Airlines,
,OKP,Okapi Airways,
,OKA,Okay Airways,
,OKL,Oklahoma Department of Public Safety,
,OLX,Olimex Aerotaxi,
,KVK,Olimp Air,
OA,NOA,Olympic Air,
,OLY,Olympic Aviation,
WY,OMA,Oman Air,
,ORF,Oman Royal Flight,
,OAV,Omni - Aviacao e Tecnologia,
OY,OAE,Omni Air International,
,OMF,Omniflys,
N3,OMS,Omskavia Airline,
,ORL,On Air Limited,
,OTG,One Two Go Airlines,
,OTM,Onetime Airlines Zambia,
,MED,Ontario Ministry of Health,
8Q,OHY,Onur Air,
,OPA,Opal Air,
1L,OSY,Open Skies Consultative Commission,
,OSA,Open Sky Aviation,
,BOS,OpenSkies,
,OLE,Operadora de Lineas Ejecutivas,
,OTP,Operadora de Transportes Aéreos,
,OPV,Operadora de Veulos Ejectutivos,
,ORR,Operadora Turistica Aurora,
,LLO,Operation Enduring Freedom,
,OAX,Operational Aviation Services,
,ORD,Orange Air Services,
,ORJ,Orange Air Sierra Leone,
,RNG,Orange Aircraft Leasing,
,ORE,Orange Aviation,
,ORX,Orbit Express Airlines,
,ORK,Orca Air,
,BUE,Orebro Aviation,
,ORM,Orel State Air Enterprise,
R2,ORB,Orenburg Airlines,
,OTA,Organizacion De Transportes Aéreos,
,OML,Organizacoes Mambra,
,OVV,Orient Air,
,OTR,Orient Airlines,
,ORN,Orient Airways,
OX,OEA,Orient Thai Airlines,
,NGK,Oriental Air Bridge,
,OAC,Oriental Airlines,
QO,OGN,Origin Pacific Airways,
,OED,Orion Air Charter,
,OIX,Orion-x,
,KOV,Orlan-2000,
,OAD,Orscom Tourist Installations,
,JPA,OSACOM,
,OSH,Osh Avia,
,OCO,Ostend Air College,
OL,OLT,Ostfriesische Lufttransport,
,FNL,Oulun Tilauslento,
ON,RON,Our Airline,
,OOT,Out Of The Blue Air Safaris,
OJ,OLA,Overland Airways,
,OXE,Oxaero,
,WDK,Oxford Air Services,
,OAA,Oxley Aviation,
O7,OZJ,Ozjet Airlines,
,KTL,P & P Floss Pick Manufacturers,
,PCR,PAC Air,
,WIS,Paccair,
Y5,PCE,Pace Airlines,
,PAB,Pacific Air Boats,
,PRC,Pacific Air Charter,
,PAQ,Pacific Air Express,
,PXP,Pacific Air Transport,
BL,PIC,Pacific Airlines,
,PAK,Pacific Alaska Airlines,
,PCV,Pacific Aviation Australia,
,PCX,Pacific Aviation United States,
DJ,PBN,Pacific Blue,
,PQA,Pacific Coast Airlines,
8P,PCO,Pacific Coastal Airline,
Q8,PEC,Pacific East Asia Cargo Airlines,
,PFA,Pacific Flight Services,
,PIN,Pacific International Airlines,
,PSA,Pacific Island Aviation,
,PCJ,Pacific Jet,
,PPM,Pacific Pearl Airways,
,PAR,Pacific Rim Airways,
LW,NMI,Pacific Wings,
GX,,Pacificair,
,PFR,Pacificair Airlines,
,RCY,Package Express,
,PAE,Paisajes Españoles,
,PKW,Pak West Airlines,
PK,PIA,Pakistan International Airlines,
,PKR,Pakker Avio,
,LPA,Pal Aerolíneas,
,PPC,Palau Asia Pacific Airlines,
GP,PTP,Palau Trans Pacific Airlines,
PF,PNW,Palestinian Airlines,
,JSP,Palmer Aviation,
NR,PIR,Pamir Airways,
,PFN,Pan African Air Services,
,ODM,Pan African Airways,
,PAX,Pan Air,
PV,PNR,PAN Air,
,XPA,Pan Am Weather Systems,
,PWD,Pan Am World Airways,
PA,PAA,Pan American World Airways,
,PEA,Pan Europeenne Air Service,
,PHT,Pan Havacilik Ve Ticaret,
,PMA,Pan Malaysian Air Transport,
,PNC,Pan-Air,
,PGI,Panagra Airways,
,PEI,Panamedia,
,PVI,Panavia,
,PNH,Panh,
,PHU,Pannon Air Service,
,PNM,Panorama,
,PAH,Panorama Air Tour,
,AFD,Panorama Flight Service,
P8,PTN,Pantanal Linhas Aéreas,
,HMP,Papair Terminal,
,PAI,Paradise Airways,
,PDI,Paradise Island Airways,
,PGX,Paragon Air Express,
,PGF,Paragon Global Flight Support,
,PRR,Paramount Airlines,
I7,PMW,Paramount Airways,
,APE,Parcel Express,
,IRE,Pariz Air,
,PRA,Pars Aviation Service,
,PST,Parsa,
,FAP,Parsons Airways Northern,
,PSC,Pascan Aviation,
,PTB,Passaredo Transportes Aéreos,
,PTC,Patria Cargas Aéreas,
,BYT,Patriot Aviation Limited,
,ETL,Patterson Aviation,
,PHE,Pawan Hans,
,IRP,Payam Air,
9Q,PBA,PB Air,
,PDQ,PDQ Air Charter,
,KGC,Peach Air,
,PRL,Pearl Air,
,PBY,Pearl Air Services,
HP,HPA,Pearl Airways,
,PVU,Peau Vavaʻu,
,PXA,Pecotox Air,
H9,PGT,Pegasus Airlines,
,PEV,Pegasus Aviation,
1I,,Pegasus Hava Tasimaciligi,
,HAK,Pegasus Helicopters,
,PDF,Pelican Air Services,
,PEX,Pelican Express,
,PAS,Pelita Air Service,
,PEM,Pem-Air,
,PDY,Pen-Avia,
KS,PEN,Peninsula Airways,
,PNE,Peninter Aérea,
,PCA,Penya De L'Aire,
,CVT,Peran,
,PCC,Perforadora Central,
,PAG,Perimeter Aviation,
P9,PGP,Perm Airlines,
,PPQ,Personas Y Pasquetes Por Air,
,FPR,Peruvian Air Force,
P9,PVN,Peruvian Airlines,
,INP,Peruvian Navy,
,PEO,Petro Air,
,PMX,Petroleos Mexicanos,
,PHM,Petroleum Helicopters,
,PHC,Petroleum Helicopters de Colombia,
,PTK,Petropavlovsk-Kamchatsk Air Enterprise,
,PTY,Petty Transport,
,PHV,Phenix Aviation,
,PMY,Phetchabun Airline,
,XAS,PHH Aviation System,
PR,PAL,Philippine Airlines,
,PHI,Philips Aviation Services,
,BCH,Phillips Air,
,PDD,Phillips Alaska,
,PHL,Phillips Michigan City Flying Service,
,PHB,Phoebus Apollo Aviation,
,KZM,Phoebus Apolloa Zambia,
,PAM,Phoenix Air,
,PHC,Phoenix Air,
,PHA,Phoenix Air Group,
,PHN,Phoenix Air Lines,
,PPG,Phoenix Air Transport,
,WDY,Phoenix Airline Services,
HP,,Phoenix Airways,
,PHY,Phoenix Avia,
,PHG,Phoenix Aviation,
,XPX,Phoenix Flight Operations,
9R,VAP,Phuket Air,
,PCH,Pilatus Flugzeugwerke,
,PLU,Pilatus PC-12 Center De Mexico,
,MKS,Pimichikamac Air,
,PNP,Pineapple Air,
,PIM,Pinframat,
,PCL,Pinnacle Air Group,
9E,FLG,Pinnacle Airlines,
,PIO,Pioneer Airlines,
,PER,Pioneers Limited,
,PRN,Pirinair Express,
,PLN,Planar,
,PMS,Planemaster Services,
,PLZ,Planet Airways,
,PYZ,Players Air,
,PDG,PLM Dollar Group,
PU,PUA,PLUNA,
,PSF,Plymouth School of Flying,
U4,PMT,PMTair,
,POC,Pocono Air Lines,
,PDA,Podilia-Avia,
,PAZ,Point Afrique Niger,
,RMI,Point Airlines,
,PAW,Pointair Burkina,
,PTS,Points of Call Airlines,
PO,PAC,Polar Air Cargo,
,PMO,Polar Airlines de Mexico,
,PSR,Polestar Aviation,
,POT,Polet Airlines,
,POF,Police Aux Frontiers,
,PLC,Police Aviation Services,
,PLF,Polish Air Force,
,PNY,Polish Navy,
,NRW,Polizeifliegerstaffel Nordrhein-Westfalen,
,SRP,Polizeihubschauberstaffel Rheinland-Pfalz,
,PBW,Polizeihubschrauberstaffel Baden-Württemberg,
,EDL,Polizeihubschrauberstaffel Bayern,
,PBB,Polizeihubschrauberstaffel Brandenburg,
,LIB,Polizeihubschrauberstaffel Hamburg,
,PHH,Polizeihubschrauberstaffel Hessen,
,PMV,Polizeihubschrauberstaffel Mecklenburg-Vorpommern,
,PPH,Polizeihubschrauberstaffel Niedersachsen,
,PHS,Polizeihubschrauberstaffel Sachsen,
,PIK,Polizeihubschrauberstaffel Sachsen-Anhalt,
,HBT,Polizeihubschrauberstaffel Thüringen,
,CUK,Polo Aviation,
,PLA,Polynesian Air-Ways,
PH,PAO,Polynesian Airlines,
DJ,PLB,Polynesian Blue,
1U,,Polyot Sirena,
,PND,Pond Air Express,
,PSI,Pont International Airline Services,
,PLX,Pool Aviation,
,PTQ,Port Townsend Airways,
,POR,Porteadora De Cosola,
PD,POE,Porter Airlines,
NI,PGA,Portugalia,
,AFP,Portuguese Air Force,
,POA,Portuguese Army,
,PON,Portuguese Navy,
BK,PDC,Potomac Air,
,PSN,Potosina Del Aire,
,PWL,Powell Air,
,PFS,Prairie Flying Service,
,PWC,Pratt and Whitney Canada,
PW,PRF,Precision Air,
,PRE,Precision Airlines,
,BAT,Premiair,
,PGL,Premiair Aviation Services,
,PME,Premiair Fliyng Club,
,EMI,Premium Air Shuttle,
,PMU,Premium Aviation,
,BFA,Presidence Du Faso,
,ONM,Presidencia de La Republica de Guinea Ecuatorial,
TO,PSD,President Airlines,
,PRD,Presidential Aviation,
,PWA,Priester Aviation,
,PMM,Primair,
FE,WCP,Primaris Airlines,
,PMC,Primas Courier,
,CRY,Primavia Limited,
,PRM,Prime Air,
,PKZ,Prime Aviation,
,SLQ,Prince Edward Air,
,PJP,Princely Jets,
,PCN,Princeton Aviation,
,PRY,Priority Air Charter,
,PAT,Priority Air Transport,
,BCK,Priority Aviation,
,PTI,Privatair,
,PJE,Private Jet Expeditions,
,PJA,Private Jet Management,
8W,PWF,Private Wings Flugcharter,
,PVG,Privilege Style Líneas Aéreas,
,PRH,Pro Air,
,PSZ,Pro Air Service,
,GIY,Probiz Guinee,
,PAD,Professional Express Courier Service,
,PVL,Professione VOlare,
,PFZ,Proflight Air Services,
P0,,Proflight Commuter Services,
,PTT,Promotora Industria Totolapa,
,PRO,Propair,
,PPA,Propheter Aviation,
,PTH,Proteus Helicopteres,
,PTL,Providence Airline,
,AWD,Providence Aviation Services,
,SPR,Provincial Airlines,
,PRV,Provincial Express,
,PRP,PRT Aviation,
,JIA,PSA Airlines,
,PSW,Pskovavia,
,UDA,Psudiklat Perhubungan Udara/PLP,
,PTA,Ptarmigan Airways,
,KST,PTL Luftfahrtunternehmen,
,PSP,Publiservicios Aéreos,
,PUV,Publivoo,
,PNG,Puerto Rico National Guard,
,TXV,Puerto Vallarta Taxi Aéreo,
,PGH,Pulkovo Aircraft Services,
,PLY,Puma Linhas Aéreas,
,PTV,Puntavia Air Services,
,MGO,Punto Fa,
,PYR,Pyramid Air Lines,
,QNT,Qanot Sharq,
QF,QFA,Qantas,
,QAC,Qatar Air Cargo,
QR,QTR,Qatar Airways,
,QAF,Qatar Amiri Flight,
,IRQ,Qeshm Air,
,QTX,Quantex Environmental,
,QUE,Quebec Government Air Service,
,QNA,Queen Air,
,LBQ,Quest Diagnostics,
,QAJ,Quick Air Jet Charter,
,QAH,Quick Airways Holland,
,QAS,Quisqueya Airlines,
,QAQ,Qurinea Air Service,
,QCC,Qwest Commuter,
,QWA,Qwestair,
,QWL,Qwila Air,
,RJT,RA Jet Aeroservicios,
,RBB,Rabbit-Air,
R6,,RACSA,
,GBR,Rader Aviation,
1D,,Radixx Solutions International,
,BKH,RAF Barkston Heath,
,LCS,RAF Leuchars,
,SMZ,RAF Scampton,
,STN,RAF St Athan,
,SMG,RAF St Mawgan Search and Rescue,
,TOF,RAF Topcliffe Flying Training Unit,
,VYT,RAF Valley Flying Training Unit,
,VLL,RAF Valley SAR Training Unit,
,MTL,RAF-Avia,
,RAJ,Raji Airlines,
,RKM,RAK Airways,
,RFA,Raleigh Flying Service,
,REX,Ram Air Freight,
,RMT,Ram Aircraft,
,PPK,Ramp 66,
,RGM,Rangemile Limited,
,MWR,Raslan Air Service,
,RAQ,Rath Aviaton,
,CSM,Ratkhan Air,
,RVN,Raven Air,
,RVR,Raven Air,
,REI,Ray Aviation,
,RYT,Raya Jet,
,RTN,Raytheon Aircraft,
,RCJ,Raytheon Corporate Jets,
,KSS,Raytheon Travel Air,
,RCB,Real Aero Club De Baleares,
,CDT,Real Aero Club de Reus-Costa Dorado,
,RCD,Real Aeroclub De Ternerife,
,RLV,Real Aviation,
,REB,Rebus,
,PSH,Red Aviation,
,RBN,Red Baron Aviation,
,DEV,Red Devils Parachute Display Team,
,RDV,Red Sea Aviation,
,RSV,Red Sky Ventures,
,STR,Red Star,
8L,RHC,Redhill Aviation,
,RAV,Reed Aviation,
,REF,Reef Air,
V4,REK,Reem Air,
,RBH,Regal Bahamas International Airways,
,RGY,Regency Airlines,
,RAH,Regent Air,
,RAG,Regio Air,
,RGR,Region Air,
,TSH,Regional 1,
,RIL,Regional Air,
,REW,Regional Air Express,
FN,RGL,Regional Air Lines,
,REG,Regional Air Services,
YS,RAE,Régional Compagnie Aérienne Européenne,
ZL,RXA,Regional Express,
,JJM,Regional Geodata Air,
3C,CEA,RegionsAir,
,REL,Reliance Aviation,
,RLT,Reliant Airlines,
,RTS,Relief Transport Services,
,RAN,Renan,
,RGS,Renown Aviation,
RW,RPA,Republic Airlines,
RH,RPH,Republic Express Airlines,
,RBC,Republicair,
,RST,Resort Air,
,RDS,Rhoades Aviation,
,RIU,Riau Airlines,
,RIA,Rich International Airways,
,RVC,Richards Aviation,
,RIC,Richardson's Airway,
,RCA,Richland Aviation,
,HPR,Rick Lucas Helicopters,
C7,RLE,Rico Linhas Aéreas,
,RID,Ridder Avia,
,RAK,Riga Airclub,
,RAZ,Rijnmond Air Services,
,POL,Rikspolisstyrelsen,
,RIM,Rimrock Airlines,
,SKA,Rio Air Express,
,REO,Rio Airways,
RL,RIO,Rio Linhas Aéreas,
,RVM,River Ministries Air Charter,
,RGP,River State Government of Nigeria,
,UNR,Rivne Universal Avia,
,RDL,Roadair Lines,
,RBT,Robinton Aero,
,ROX,Roblex Aviation,
,RKW,Rockwell Collins Avionics,
,ROC,Rocky Mountain Airlines,
,RMA,Rocky Mountain Airways,
,LIF,Rocky Mountain Holdings,
,RDZ,Rodze Air,
,FAD,Rog-Air,
,RRZ,Rollright Aviation,
,RRL,Rolls-Royce Limited,
,BTU,Rolls-Royce plc,
,ROF,Romanian Air Force,
,RMV,Romavia,
,RNS,Ronso,
,ROR,Roraima Airways,
,RNB,Rosneft-Baltika,
,NRG,Ross Aviation,
,RFS,Rossair,
,RSS,Rossair,
,ROS,Rossair Europe,
FV,SDM,Rossiya,
,RAL,Roswell Airlines,
,RTR,Rotatur,
,RKT,Rotormotion,
,JCR,Rotterdam Jet Center,
,ROV,Rover Airways International,
,VOS,Rovos Air,
,RCG,Royal Air Cargo,
,ACW,Royal Air Force,
RR,RFR,Royal Air Force,
,RRF,Royal Air Force,
,RRR,Royal Air Force,
,SHF,Royal Air Force,
RS,MJN,Royal Air Force of Oman,
,RAX,Royal Air Freight,
AT,RAM,Royal Air Maroc,
R0,RPK,Royal Airlines,
,RLM,Royal American Airways,
V5,RYL,Royal Aruban Airlines,
,ASY,Royal Australian Air Force,
,RXP,Royal Aviation Express,
,RYB,Royal Bahrain Airlines,
BI,RBA,Royal Brunei Airlines,
,KDR,Royal Daisy Airlines,
,RGA,Royal Ghanaian Airlines,
,ROJ,Royal Jet,
RJ,RJA,Royal Jordanian,
,RJZ,Royal Jordanian Air Force,
RK,RKH,Royal Khmer Airlines,
,RMF,Royal Malaysian Air Force,
,NVY,Royal Navy,
RA,RNA,Royal Nepal Airlines,
,NRN,Royal Netherland Navy,
,NAF,Royal Netherlands Air Force,
,KIW,Royal New Zealand Air Force,
,NOW,Royal Norwegian Air Force,
,ROP,Royal Oman Police,
RL,PPW,Royal Phnom Penh Airways,
,RRA,Royal Rwanda Airlines,
,RSF,Royal Saudi Air Force,
,RYS,Royal Sky,
,RSN,Royal Swazi National Airways,
WR,HRH,Royal Tongan Airlines,
,RWE,Royal West Airlines,
,RSB,Rubystar,
,RMG,Rumugu Air & Space Nigeria,
,KLE,Rusaero,
,RUR,Rusaero,
,CGI,Rusair JSAC,
,RUH,Rusich-T,
,RLU,Rusline,
,MIG,Russian Aircraft,
,RFF,Russian Federation Air Force,
P7,ESL,Russian Sky Airlines,
,RUZ,Rusuertol,
,RUC,Rutas Aéreas,
,RND,Rutland Aviation,
,RUA,Rwanda Airlines,
,RWA,Rwanda Airways,
WB,RWD,Rwandair Express,
,RWL,RWL Luftfahrtgesellschaft,
7S,RCT,Ryan Air Service,
,RYA,Ryan Air Services,
RD,RYN,Ryan International Airlines,
FR,RYR,Ryanair,
,RYZ,Ryazan State Air Enterprise,
,RAA,Rynes Aviation,
,TIH,S C Ion Tiriac,
,RLS,S-Air,
,SFX,S.K. Logistics,
,GDG,S.P. Aviation,
S7,SBI,S7 Airlines,
,REJ,SA Airlink Regional,
,TGT,SAAB Nyge Aero,
,SCT,SAAB-Aircraft,
,MMS,SAAD,
,SAX,Sabah Air,
,SMC,Sabang Merauke Raya Air Charter,
,SIS,Saber Airlines,
,SBR,Saber Aviation,
1S,,Sabre,
,SBG,Sabre,
1Z,APD,Sabre Pacific,
,SDK,SADELCA - Sociedad Aérea Del Caquetá,
,SSS,SAESA,
EH,SET,SAETA,
FA,SFR,Safair,
,SXY,Safari Express Cargo,
,XLK,Safarilink Aviation,
,IRV,Safat Airlines,
,SFP,Safe Air,
,SFF,Safewings Aviation,
,SFN,Safiran Airlines,
,SGX,Saga Airlines,
,SGP,Sagolair Transportes Ejecutivos,
,IRZ,Saha Airlines Services,
,SHD,Sahara Airlines,
,AWJ,Sahel Airlines,
,SAO,Sahel Aviation Service,
,SCB,Saigon Capital Aircraft Management,
,SRA,Sair Aviation,
,AZG,Sakaviaservice,
,SHU,Sakhalinskie Aviatrassy,
,SIR,Salair,
,SLW,Salama Airlines Nigeria,
,KKS,Salem,
,SLP,Salpa Aviation,
MM,SAM,SAM Colombia,
ZS,SMY,Sama Airlines,
,SAV,Samal Air,
,SMQ,Samar Air,
,HLO,Samaritan Air Service,
,UZS,Samarkand Airways,
,SGU,Samgau,
,SHL,Samson Aviation,
2G,MRR,San Juan Airlines,
,LRS,Sansa,
S3,BBR,Santa Barbara Airlines,
,SPP,Sapphire Aviation,
,SPH,Sapphire Executive Air,
6W,SOV,Saratov Aviation Division,
,SRW,Sarit Airlines,
,JIM,Sark International Airways,
SK,CNO,SAS Braathens,
,SSB,Sasair,
,SSU,SASCA,
,SAC,SASCO Airlines,
,SLG,Saskatchewan Government,
,SGS,Saskatchewan Government Executive Air Service,
HZ,SOZ,Sat Airlines,
SP,SAT,SATA Air Acores,
S4,RZO,SATA International,
,SXX,Satellite Aero,
,NSE,SATENA,
,SYK,Satsair,
SV,SVA,Saudi Arabian Airlines,
,SNI,Savanah Airlines,
,SVN,Savanair Angola,
,SAH,Sayakhat Airlines,
SK,SAS,Scandinavian Airlines,
,SCQ,Scandinavian Aviation Academy,
,VSV,Scat Air,
,ENR,Scenic Air,
,SCE,Scenic Airlines,
,SBZ,Scibe Airlift,
,RFT,Scoala Superioara De Aviatie Civila,
,SCP,Scorpio Aviation,
8S,,Scorpio Aviation,
,SAY,ScotAirways,
,SKO,Scottish Airways Flyers,
BB,SBS,Seaborne Airlines,
,SCC,Seacoast Airlines,
,CGL,Seagle Air,
,SRC,Searca,
,SRG,Search and Rescue 202,
,SRD,Search and Rescue 22,
,GIK,Seba Airlines,
,SIJ,Seco International,
,UKU,Second Sverdlovsk Air Enterprise,
,ANX,Secretaria de Marina,
,XTR,Sector Airlines,
,JCM,Secure Air Charter,
,SVX,Security Aviation,
,STG,Sedalia Marshall,
,SED,Sedona Air Center,
,SFA,SEFA,
,SFE,Sefofane Air Charters,
,SEO,Selcon Airlines,
,SRS,Selkirk Remote Sensing,
,STJ,Sella Aviation,
,SMK,Semeyavia,
,STE,Semitool Europe,
,SME,Semos,
,SNH,Senair Services,
,SNA,Senator Aviation Charter,
,XMX,SENEAM,
,SEL,Sentel,
,SHI,Seoul Air International,
,SEV,Serair Transworld Press,
,SWZ,Servair,
8D,,Servant Air,
,SHP,Service Aerien Francais,
,SPX,Service People Gesellschaft für Charter und Service,
,RER,Servicio Aéreo Regional Regair,
,SES,Servicio Aéreo Saltillo,
,SDH,Servicio De Helicopteros,
,MSP,Servicio De Vigilancia Aérea Del Ministerio De Seguridad Pública,
,SDX,Servicio Tecnico Aero De Mexico,
,SGI,Servicios Aéreos Agrícolas,
,VDO,Servicios Aéreos Avandaro,
,CEE,Servicios Aéreos Centrales,
,KOP,Servicios Aéreos Copters,
,TRN,Servicios Aéreos Corporativos,
,AHI,Servicios Aéreos de Chihuahua Aerochisa,
,AGE,Servicios Aéreos de Los Ángeles,
,SNE,Servicios Aéreos De Nicaragua SANSA,
,SCV,Servicios Aéreos Del Centro,
,NAZ,Servicios Aéreos del Nazas,
,NTB,Servicios Aéreos Del Norte,
,AOS,Servicios Aéreos Del Sol,
,SDV,Servicios Aéreos Del Vaupes,
,DNI,Servicios Aéreos Denim,
,LGU,Servicios Aéreos Ejecutivos De La Laguna,
,SRO,Servicios Aéreos Ejecutivos Saereo,
,DKY,Servicios Aéreos Elite,
,SJA,Servicios Aéreos Especiales De Jalisco,
,SXM,Servicios Aéreos Especializados Mexicanos,
,LLS,Servicios Aéreos Estrella,
,KSP,Servicios Aéreos Expecializados En Transportes Petroleros,
,GDE,Servicios Aéreos Gadel,
,GNA,Servicios Aéreos Gana,
,ILS,Servicios Aéreos Ilsa,
,FYA,Servicios Aéreos Integrales / Flyant,
,SMD,Servicios Aéreos La Marquesa,
,NON,Servicios Aéreos Latinoamericanos,
,SEB,Servicios Aéreos Luce,
,MLO,Servicios Aéreos Milenio,
,NRZ,Servicios Aéreos Monarrez,
,MRI,Servicios Aéreos Moritani,
,MTG,Servicios Aéreos MTT,
,SAN,Servicios Aéreos Nacionales,
,OSS,Servicios Aéreos Noticiosos,
,SPQ,Servicios Aéreos Palenque,
,POB,Servicios Aéreos Poblanos,
,PMR,Servicios Aéreos Premier,
,PSV,Servicios Aéreos Profesionales,
,RGC,Servicios Aéreos Regiomontanos,
,SVS,Servicios Aéreos Saar,
,SCI,Servicios Aéreos San Cristóbal,
,SLS,Servicios Aéreos Slainte,
,SSE,Servicios Aéreos Sunset,
,TZU,Servicios Aéreos Tamazula,
,XTA,Servicios Aéreos Textra,
,TBS,Servicios Aéreos Tribasa,
,UNT,Servicios Aéreos Universitarios,
,SRL,Servicios Aeronáuticos Aero Personal,
,SVO,Servicios Aeronáuticos De Oriente,
,SIL,Servicios Aeronáuticos Integrales,
,SZT,Servicios Aeronáuticos Z,
,SPL,Servicios Corporativos Aéreos De La Laguna,
,STD,Servicios De Aerotransportacion De Aguascalientes,
,RMP,Servicios De Rampa Y Mostrador,
,SXT,Servicios De Taxi Aéreo,
,SVI,Servicios De Transporte Aéreo,
FS,STU,Servicios de Transportes Aéreos Fueguinos,
,SJC,Servicios Ejecutivos Continental,
,HJE,Servicios Ejecutivos Gosa,
,SJL,Servicios Especiales Del Pacifico Jalisco,
,NTG,Servicios Integrales De Aviación,
,SPV,Servicios Privados De Aviación,
,MSG,Servico Aéreo Regional,
,LLA,Servico Leo Lopex,
,SQL,Servicos De Alquiler,
,SGH,Servisair,
,SNM,Servizi Aerei,
,SLX,Sete Linhas Aéreas,
,NAD,Seulawah Nad Air,
,SVL,Sevastopol-Avia,
